post_id,text,account_id,timestamp,token,type
p1001,🚀 NEURA listing on tier 1 exchange CONFIRMED! Load your bags!,acc501,2026-01-15T09:00:15,NEURA,coordinated
p1002,Insider info: OMNI partnership with major cloud provider leaking soon.,acc542,2026-01-15T09:01:45,OMNI,fake_news
p1003,Don't sleep on XCY. The chart looks primed for a breakout.,acc510,2026-01-15T09:02:10,XCY,organic
p1004,NEURA to $10!! 🌕🌕🌕,acc505,2026-01-15T09:02:55,NEURA,bot
p1005,Why is everyone spamming exactly the same message about BLOC?,acc522,2026-01-15T09:03:30,BLOC,doubt
p1006,Major liquidity injection detected. Smart money is buying.,acc533,2026-01-15T09:04:00,NEURA,coordinated
p1007,Beware of the dump. This pump is artificial.,acc518,2026-01-15T09:04:45,NEURA,doubt
p1008,BREAKING: CEO just tweeted huge news! 🚨,acc501,2026-01-15T09:05:15,OMNI,fake_news
p1009,Automated wealth generation. Join the revolution.,acc505,2026-01-15T09:05:50,XCY,bot
p1010,Just read the whitepaper. The tech stack is actually revolutionary.,acc515,2026-01-15T09:06:20,BLOC,organic
p1011,NEURA listing on tier 1 exchange CONFIRMED! Load your bags!,acc549,2026-01-15T09:07:00,NEURA,coordinated
p1012,Buying the dip aggressively here.,acc520,2026-01-15T09:07:45,OMNI,bot
p1013,Sources say acquisition talks are in final stages.,acc542,2026-01-15T09:08:10,XCY,fake_news
p1014,Seems like a classic rug pull setup. Be careful guys.,acc522,2026-01-15T09:08:55,OMNI,doubt
p1015,NEURA listing on tier 1 exchange CONFIRMED! Load your bags!,acc530,2026-01-15T09:09:20,NEURA,coordinated
p1016,Holding strong since 2024. Diamond hands. 💎,acc510,2026-01-15T09:10:00,NEURA,organic
p1017,🚀🚀🚀 OMNI 1000x INCOMING 🚀🚀🚀,acc505,2026-01-15T09:10:30,OMNI,bot
p1018,Wait, this roadmap was copied from another project.,acc518,2026-01-15T09:11:15,XCY,doubt
p1019,Institutional accumulation spotted on-chain.,acc533,2026-01-15T09:12:00,BLOC,coordinated
p1020,Devs are doxxed and active in discord. Good sign.,acc515,2026-01-15T09:12:45,BLOC,organic
p1021,NEURA listing on tier 1 exchange CONFIRMED! Load your bags!,acc508,2026-01-15T09:13:10,NEURA,coordinated
p1022,URGENT: Sell everything before the regulation hit!,acc542,2026-01-15T09:13:50,NEURA,fake_news
p1023,This volume is fake. Wash trading suspected.,acc522,2026-01-15T09:14:20,BLOC,doubt
p1024,XCY is the future of finance!,acc520,2026-01-15T09:15:00,XCY,bot
p1025,Analyzing the github commits, development has slowed down.,acc510,2026-01-15T09:15:45,OMNI,organic
p1026,Major liquidity injection detected. Smart money is buying.,acc549,2026-01-15T09:16:10,NEURA,coordinated
p1027,🔥 HOT TIP: Elon might mention this soon! 🔥,acc501,2026-01-15T09:16:55,BLOC,fake_news
p1028,Can someone explain the utility of this token?,acc518,2026-01-15T09:17:30,XCY,doubt
p1029,Buy buy buy! 🟢🟢🟢,acc505,2026-01-15T09:18:00,NEURA,bot
p1030,Community call was very transparent today.,acc515,2026-01-15T09:18:45,OMNI,organic
p1031,NEURA listing on tier 1 exchange CONFIRMED! Load your bags!,acc512,2026-01-15T09:19:15,NEURA,coordinated
p1032,Insider leak: OMNI partnership with major cloud provider leaking soon.,acc501,2026-01-15T09:20:00,OMNI,fake_news
p1033,To the moon!! 🚀,acc520,2026-01-15T09:20:45,BLOC,bot
p1034,This account was created yesterday. Clearly a bot.,acc522,2026-01-15T09:21:10,NEURA,doubt
p1035,The technical analysis shows a double bottom pattern.,acc510,2026-01-15T09:22:00,XCY,organic
p1036,Major liquidity injection detected. Smart money is buying.,acc508,2026-01-15T09:22:30,NEURA,coordinated
p1037,Rumor: Government adoption in Q3!,acc542,2026-01-15T09:23:15,NEURA,fake_news
p1038,Who else is seeing these gas fees? Unusable.,acc518,2026-01-15T09:23:45,OMNI,doubt
p1039,LFG!!!! 🚀🚀,acc505,2026-01-15T09:24:20,XCY,bot
p1040,Steady growth is better than pump and dump.,acc515,2026-01-15T09:25:00,NEURA,organic
