narrative_id,token_id,topic,risk_level,bot_percentage,avg_sentiment,warning
n0001,NEURA,Trend: Gems Primed Buy,HIGH,100.0,0.66,🚨 Heavily Manipulated (Bot Army)
n0002,NEURA,Trend: Just Neura Market,LOW,0.0,0.12,Organic conversation
n0003,NEURA,Trend: Word Target Attention,HIGH,100.0,0.0,🚨 Heavily Manipulated (Bot Army)
n0004,TAO,Trend: Just Tao Market,LOW,5.0,0.06,Organic conversation
n0005,TAO,Trend: Moon Primed Miss,HIGH,100.0,0.66,🚨 Heavily Manipulated (Bot Army)
n0006,TAO,Trend: Word Target Attention,HIGH,100.0,0.0,🚨 Heavily Manipulated (Bot Army)
n0007,XCY,Trend: Partnership Major Rumors,LOW,25.0,0.17,Organic conversation
n0008,XCY,Trend: Moon Miss 1000X,HIGH,100.0,0.66,🚨 Heavily Manipulated (Bot Army)
n0009,XCY,Trend: Just Xcy Signals,LOW,20.0,0.06,Organic conversation
n0010,BLOC,Trend: Word Target Attention,HIGH,100.0,0.0,🚨 Heavily Manipulated (Bot Army)
n0011,BLOC,Trend: Miss Opportunity Crypto,HIGH,100.0,0.66,🚨 Heavily Manipulated (Bot Army)
n0012,BLOC,Trend: Just Bloc Market,LOW,5.0,0.16,Organic conversation
n0013,OMNI,Trend: Just Omni Market,LOW,10.0,0.13,Organic conversation
n0014,OMNI,Trend: Primed Buy Moon,HIGH,100.0,0.46,🚨 Heavily Manipulated (Bot Army)
n0015,OMNI,Trend: Pools Inflows Overbought,LOW,0.0,0.45,Organic conversation
n0016,RNDR,Trend: Just Rndr Market,LOW,0.0,0.33,Organic conversation
n0017,RNDR,Trend: Moon Primed Miss,HIGH,100.0,0.66,🚨 Heavily Manipulated (Bot Army)
n0018,RNDR,Trend: Word Target Attention,HIGH,100.0,0.0,🚨 Heavily Manipulated (Bot Army)
n0019,AITK,Trend: Signals Overbought Usually,LOW,0.0,0.43,Organic conversation
n0020,AITK,Trend: Crypto Buy Opportunity,HIGH,100.0,0.53,🚨 Heavily Manipulated (Bot Army)
n0021,AITK,Trend: Just Aitk Amounts,LOW,10.0,0.03,Organic conversation
