post_id,text,account_id,timestamp,token,type
p0001,Seems like coordinated hype.,acc0078,2025-12-04T14:00:05,BLOC,doubt
p0002,Market sentiment seems healthy.,acc0074,2025-12-04T14:00:20,ASI,organic
p0003,Strong team strong roadmap!,acc0073,2025-12-04T14:00:49,RNDR,coordinated
p0004,Market sentiment seems healthy.,acc0019,2025-12-04T14:00:59,AITK,organic
p0005,This will be the next 100x!,acc0369,2025-12-04T14:01:26,AITK,coordinated
p0006,To the moon!!!,acc0110,2025-12-04T14:01:28,AITK,bot
p0007,Seems like coordinated hype. #XCY,acc0281,2025-12-04T14:01:38,XCY,doubt
p0008,Undervalued gem!,acc0430,2025-12-04T14:01:47,NEURA,coordinated
p0009,BREAKING: Major partnership confirmed! #NEURA,acc0195,2025-12-04T14:02:17,NEURA,fake_news
p0010,Strong development updates.,acc0007,2025-12-04T14:02:30,BLOC,organic
p0011,Undervalued gem!,acc0489,2025-12-04T14:02:46,XCY,coordinated
p0012,This might be manipulated.,acc0414,2025-12-04T14:03:15,RNDR,doubt
p0013,Rumor: Big tech involved!,acc0058,2025-12-04T14:03:31,TAO,fake_news
p0014,Massive pump incoming stay ready!,acc0428,2025-12-04T14:04:00,BLOC,coordinated
p0015,Insider: massive deal incoming!,acc0341,2025-12-04T14:04:19,AITK,fake_news
p0016,Don't miss this 100x!,acc0376,2025-12-04T14:04:22,AITK,bot
p0017,This might be manipulated. #OMNI,acc0427,2025-12-04T14:04:25,OMNI,doubt
p0018,Market sentiment seems healthy. #TAO,acc0074,2025-12-04T14:04:30,TAO,organic
p0019,To the moon!!!,acc0210,2025-12-04T14:04:41,TAO,bot
p0020,Solid long-term potential.,acc0129,2025-12-04T14:05:11,NEURA,organic
p0021,Too many identical posts today...,acc0146,2025-12-04T14:05:31,FEX,doubt
p0022,Pump incoming!,acc0256,2025-12-04T14:05:57,OMNI,bot
p0023,This might be manipulated. #OMNI,acc0067,2025-12-04T14:06:15,OMNI,doubt
p0024,Where is the proof?,acc0092,2025-12-04T14:06:18,XCY,doubt
p0025,Massive pump incoming stay ready! #XCY,acc0463,2025-12-04T14:06:25,XCY,coordinated
p0026,Strong development updates.,acc0471,2025-12-04T14:06:46,BLOC,organic
p0027,The project is growing steadily. #XCY,acc0500,2025-12-04T14:06:50,XCY,organic
p0028,Seems like coordinated hype. #BLOC,acc0190,2025-12-04T14:07:16,BLOC,doubt
p0029,This might be manipulated.,acc0341,2025-12-04T14:07:30,RNDR,doubt
p0030,Pump incoming!,acc0075,2025-12-04T14:07:55,NEURA,bot
p0031,Strong team strong roadmap!,acc0015,2025-12-04T14:08:01,FEX,coordinated
p0032,Solid long-term potential.,acc0064,2025-12-04T14:08:06,TAO,organic
p0033,This will be the next 100x! #TAO,acc0300,2025-12-04T14:08:18,TAO,coordinated
p0034,Strong development updates.,acc0120,2025-12-04T14:08:20,FEX,organic
p0035,Strong development updates.,acc0106,2025-12-04T14:08:38,NEURA,organic
p0036,Too many identical posts today...,acc0323,2025-12-04T14:09:04,BLOC,doubt
p0037,Don't miss this 100x!,acc0002,2025-12-04T14:09:32,OMNI,bot
p0038,Strong team strong roadmap!,acc0269,2025-12-04T14:09:58,AITK,coordinated
p0039,Rumor: Big tech involved! #AITK,acc0093,2025-12-04T14:10:23,AITK,fake_news
p0040,Where is the proof?,acc0497,2025-12-04T14:10:38,FEX,doubt
p0041,The project is growing steadily.,acc0089,2025-12-04T14:11:08,FEX,organic
p0042,Pump incoming!,acc0210,2025-12-04T14:11:33,TAO,bot
p0043,Rumor: Big tech involved! #ASI,acc0078,2025-12-04T14:11:44,ASI,fake_news
p0044,The project is growing steadily.,acc0346,2025-12-04T14:11:58,AITK,organic
p0045,The project is growing steadily.,acc0214,2025-12-04T14:12:04,RNDR,organic
p0046,Rumor: Big tech involved! #NEURA,acc0143,2025-12-04T14:12:18,NEURA,fake_news
p0047,This will be the next 100x!,acc0187,2025-12-04T14:12:45,NEURA,coordinated
p0048,BREAKING: Major partnership confirmed! #OMNI,acc0135,2025-12-04T14:12:51,OMNI,fake_news
p0049,This will be the next 100x! #XCY,acc0449,2025-12-04T14:13:03,XCY,coordinated
p0050,Buy now!! Massive potential! #XCY,acc0057,2025-12-04T14:13:21,XCY,bot
p0051,To the moon!!! #XCY,acc0500,2025-12-04T14:13:29,XCY,bot
p0052,Undervalued gem! #BLOC,acc0391,2025-12-04T14:13:33,BLOC,coordinated
p0053,Too many identical posts today... #XCY,acc0032,2025-12-04T14:13:42,XCY,doubt
p0054,To the moon!!!,acc0476,2025-12-04T14:13:52,BLOC,bot
p0055,This will be the next 100x! #OMNI,acc0381,2025-12-04T14:14:19,OMNI,coordinated
p0056,Undervalued gem!,acc0181,2025-12-04T14:14:40,OMNI,coordinated
p0057,Undervalued gem!,acc0492,2025-12-04T14:15:09,NEURA,coordinated
p0058,BREAKING: Major partnership confirmed!,acc0347,2025-12-04T14:15:24,FEX,fake_news
p0059,Insider: massive deal incoming!,acc0152,2025-12-04T14:15:51,OMNI,fake_news
p0060,Insider: massive deal incoming!,acc0288,2025-12-04T14:16:21,XCY,fake_news
p0061,Too many identical posts today...,acc0209,2025-12-04T14:16:39,OMNI,doubt
p0062,Seems like coordinated hype.,acc0371,2025-12-04T14:17:06,ASI,doubt
p0063,This will be the next 100x!,acc0173,2025-12-04T14:17:16,AITK,coordinated
p0064,Undervalued gem!,acc0068,2025-12-04T14:17:40,AITK,coordinated
p0065,BREAKING: Major partnership confirmed!,acc0271,2025-12-04T14:18:00,AITK,fake_news
p0066,To the moon!!!,acc0152,2025-12-04T14:18:01,NEURA,bot
p0067,Insider: massive deal incoming!,acc0032,2025-12-04T14:18:12,XCY,fake_news
p0068,This will be the next 100x! #BLOC,acc0191,2025-12-04T14:18:27,BLOC,coordinated
p0069,Don't miss this 100x!,acc0100,2025-12-04T14:18:41,XCY,bot
p0070,This will be the next 100x!,acc0423,2025-12-04T14:19:01,ASI,coordinated
p0071,Pump incoming! #ASI,acc0462,2025-12-04T14:19:17,ASI,bot
p0072,The project is growing steadily. #AITK,acc0247,2025-12-04T14:19:29,AITK,organic
p0073,Leaked info suggests huge collaboration!,acc0387,2025-12-04T14:19:49,AITK,fake_news
p0074,Undervalued gem! #XCY,acc0263,2025-12-04T14:19:52,XCY,coordinated
p0075,Don't miss this 100x! #XCY,acc0166,2025-12-04T14:20:14,XCY,bot
p0076,This will be the next 100x!,acc0353,2025-12-04T14:20:18,XCY,coordinated
p0077,Leaked info suggests huge collaboration!,acc0226,2025-12-04T14:20:23,XCY,fake_news
p0078,Undervalued gem!,acc0047,2025-12-04T14:20:47,NEURA,coordinated
p0079,Massive pump incoming stay ready!,acc0483,2025-12-04T14:20:54,XCY,coordinated
p0080,Pump incoming!,acc0318,2025-12-04T14:21:06,XCY,bot
p0081,Rumor: Big tech involved! #XCY,acc0400,2025-12-04T14:21:34,XCY,fake_news
p0082,Buy now!! Massive potential!,acc0468,2025-12-04T14:21:52,OMNI,bot
p0083,Seems like coordinated hype. #AITK,acc0153,2025-12-04T14:22:09,AITK,doubt
p0084,Where is the proof?,acc0066,2025-12-04T14:22:38,BLOC,doubt
p0085,This will be the next 100x!,acc0403,2025-12-04T14:23:07,BLOC,coordinated
p0086,This will be the next 100x! #OMNI,acc0065,2025-12-04T14:23:28,OMNI,coordinated
p0087,This will be the next 100x!,acc0274,2025-12-04T14:23:38,XCY,coordinated
p0088,Massive pump incoming stay ready!,acc0173,2025-12-04T14:23:45,BLOC,coordinated
p0089,BREAKING: Major partnership confirmed!,acc0117,2025-12-04T14:23:55,ASI,fake_news
p0090,Massive pump incoming stay ready!,acc0419,2025-12-04T14:24:18,XCY,coordinated
p0091,Seems like coordinated hype.,acc0015,2025-12-04T14:24:26,FEX,doubt
p0092,Market sentiment seems healthy.,acc0212,2025-12-04T14:24:33,FEX,organic
p0093,Massive pump incoming stay ready!,acc0169,2025-12-04T14:24:50,XCY,coordinated
p0094,Where is the proof? #XCY,acc0270,2025-12-04T14:25:11,XCY,doubt
p0095,Insider: massive deal incoming! #FEX,acc0326,2025-12-04T14:25:37,FEX,fake_news
p0096,Undervalued gem! #ASI,acc0322,2025-12-04T14:26:05,ASI,coordinated
p0097,Insider: massive deal incoming! #FEX,acc0032,2025-12-04T14:26:35,FEX,fake_news
p0098,This might be manipulated.,acc0335,2025-12-04T14:26:58,BLOC,doubt
p0099,Where is the proof?,acc0260,2025-12-04T14:27:15,OMNI,doubt
p0100,Where is the proof? #OMNI,acc0416,2025-12-04T14:27:45,OMNI,doubt
p0101,Rumor: Big tech involved! #NEURA,acc0445,2025-12-04T14:28:13,NEURA,fake_news
p0102,Rumor: Big tech involved!,acc0257,2025-12-04T14:28:16,AITK,fake_news
p0103,Massive pump incoming stay ready!,acc0459,2025-12-04T14:28:33,BLOC,coordinated
p0104,Where is the proof?,acc0175,2025-12-04T14:28:49,BLOC,doubt
p0105,Buy now!! Massive potential! #XCY,acc0005,2025-12-04T14:29:19,XCY,bot
p0106,Don't miss this 100x!,acc0184,2025-12-04T14:29:38,TAO,bot
p0107,Don't miss this 100x! #ASI,acc0455,2025-12-04T14:29:43,ASI,bot
p0108,Too many identical posts today... #FEX,acc0421,2025-12-04T14:29:52,FEX,doubt
p0109,Seems like coordinated hype.,acc0039,2025-12-04T14:30:15,AITK,doubt
p0110,The project is growing steadily. #TAO,acc0182,2025-12-04T14:30:40,TAO,organic
p0111,Buy now!! Massive potential! #FEX,acc0479,2025-12-04T14:30:58,FEX,bot
p0112,The project is growing steadily.,acc0486,2025-12-04T14:31:04,NEURA,organic
p0113,This might be manipulated.,acc0073,2025-12-04T14:31:16,ASI,doubt
p0114,To the moon!!!,acc0251,2025-12-04T14:31:22,NEURA,bot
p0115,Too many identical posts today...,acc0198,2025-12-04T14:31:24,NEURA,doubt
p0116,Pump incoming! #BLOC,acc0143,2025-12-04T14:31:34,BLOC,bot
p0117,Market sentiment seems healthy.,acc0352,2025-12-04T14:31:38,BLOC,organic
p0118,This might be manipulated.,acc0331,2025-12-04T14:31:52,OMNI,doubt
p0119,Rumor: Big tech involved!,acc0472,2025-12-04T14:32:05,OMNI,fake_news
p0120,Leaked info suggests huge collaboration! #BLOC,acc0486,2025-12-04T14:32:12,BLOC,fake_news
p0121,Buy now!! Massive potential! #RNDR,acc0042,2025-12-04T14:32:27,RNDR,bot
p0122,This will be the next 100x! #NEURA,acc0112,2025-12-04T14:32:49,NEURA,coordinated
p0123,Market sentiment seems healthy.,acc0202,2025-12-04T14:32:58,AITK,organic
p0124,Massive pump incoming stay ready!,acc0240,2025-12-04T14:33:21,NEURA,coordinated
p0125,Massive pump incoming stay ready!,acc0054,2025-12-04T14:33:37,TAO,coordinated
p0126,Insider: massive deal incoming!,acc0214,2025-12-04T14:33:55,OMNI,fake_news
p0127,This will be the next 100x!,acc0218,2025-12-04T14:33:57,ASI,coordinated
p0128,Solid long-term potential.,acc0490,2025-12-04T14:34:23,ASI,organic
p0129,Undervalued gem! #FEX,acc0135,2025-12-04T14:34:39,FEX,coordinated
p0130,Rumor: Big tech involved! #XCY,acc0013,2025-12-04T14:35:01,XCY,fake_news
p0131,Leaked info suggests huge collaboration!,acc0188,2025-12-04T14:35:07,TAO,fake_news
p0132,Market sentiment seems healthy.,acc0388,2025-12-04T14:35:36,ASI,organic
p0133,Don't miss this 100x!,acc0183,2025-12-04T14:35:53,XCY,bot
p0134,This will be the next 100x!,acc0094,2025-12-04T14:36:23,AITK,coordinated
p0135,Solid long-term potential. #TAO,acc0279,2025-12-04T14:36:48,TAO,organic
p0136,Insider: massive deal incoming!,acc0337,2025-12-04T14:37:11,XCY,fake_news
p0137,Strong development updates.,acc0169,2025-12-04T14:37:31,ASI,organic
p0138,Insider: massive deal incoming!,acc0291,2025-12-04T14:37:34,NEURA,fake_news
p0139,Too many identical posts today... #RNDR,acc0189,2025-12-04T14:37:39,RNDR,doubt
p0140,Strong development updates.,acc0202,2025-12-04T14:37:57,FEX,organic
p0141,Leaked info suggests huge collaboration!,acc0279,2025-12-04T14:38:05,TAO,fake_news
p0142,This might be manipulated. #ASI,acc0134,2025-12-04T14:38:35,ASI,doubt
p0143,Too many identical posts today... #OMNI,acc0188,2025-12-04T14:38:59,OMNI,doubt
p0144,Strong team strong roadmap!,acc0293,2025-12-04T14:39:19,RNDR,coordinated
p0145,Strong development updates.,acc0106,2025-12-04T14:39:26,TAO,organic
p0146,Where is the proof? #BLOC,acc0498,2025-12-04T14:39:48,BLOC,doubt
p0147,Strong team strong roadmap!,acc0175,2025-12-04T14:40:07,FEX,coordinated
p0148,Solid long-term potential. #TAO,acc0196,2025-12-04T14:40:08,TAO,organic
p0149,Don't miss this 100x!,acc0057,2025-12-04T14:40:19,RNDR,bot
p0150,Market sentiment seems healthy.,acc0169,2025-12-04T14:40:22,ASI,organic
p0151,Pump incoming! #RNDR,acc0145,2025-12-04T14:40:25,RNDR,bot
p0152,Strong development updates.,acc0182,2025-12-04T14:40:35,FEX,organic
p0153,This might be manipulated.,acc0028,2025-12-04T14:40:53,TAO,doubt
p0154,This might be manipulated. #TAO,acc0186,2025-12-04T14:41:21,TAO,doubt
p0155,Pump incoming!,acc0048,2025-12-04T14:41:41,XCY,bot
p0156,Don't miss this 100x!,acc0106,2025-12-04T14:41:43,NEURA,bot
p0157,Undervalued gem!,acc0186,2025-12-04T14:42:04,BLOC,coordinated
p0158,To the moon!!!,acc0141,2025-12-04T14:42:05,FEX,bot
p0159,Massive pump incoming stay ready!,acc0477,2025-12-04T14:42:28,ASI,coordinated
p0160,Market sentiment seems healthy.,acc0163,2025-12-04T14:42:42,OMNI,organic
p0161,This might be manipulated.,acc0178,2025-12-04T14:43:08,OMNI,doubt
p0162,This will be the next 100x!,acc0168,2025-12-04T14:43:13,RNDR,coordinated
p0163,This will be the next 100x! #NEURA,acc0065,2025-12-04T14:43:16,NEURA,coordinated
p0164,Rumor: Big tech involved!,acc0166,2025-12-04T14:43:36,XCY,fake_news
p0165,Rumor: Big tech involved!,acc0141,2025-12-04T14:43:55,XCY,fake_news
p0166,Pump incoming! #OMNI,acc0165,2025-12-04T14:44:21,OMNI,bot
p0167,Solid long-term potential.,acc0451,2025-12-04T14:44:28,BLOC,organic
p0168,Market sentiment seems healthy. #XCY,acc0482,2025-12-04T14:44:47,XCY,organic
p0169,Rumor: Big tech involved!,acc0175,2025-12-04T14:44:58,NEURA,fake_news
p0170,Insider: massive deal incoming!,acc0233,2025-12-04T14:45:17,NEURA,fake_news
p0171,Leaked info suggests huge collaboration!,acc0360,2025-12-04T14:45:29,NEURA,fake_news
p0172,Undervalued gem!,acc0256,2025-12-04T14:45:42,TAO,coordinated
p0173,Strong team strong roadmap!,acc0464,2025-12-04T14:45:49,RNDR,coordinated
p0174,The project is growing steadily.,acc0193,2025-12-04T14:46:06,NEURA,organic
p0175,Buy now!! Massive potential!,acc0462,2025-12-04T14:46:17,OMNI,bot
p0176,Leaked info suggests huge collaboration!,acc0341,2025-12-04T14:46:44,TAO,fake_news
p0177,The project is growing steadily.,acc0005,2025-12-04T14:46:51,RNDR,organic
p0178,Market sentiment seems healthy.,acc0212,2025-12-04T14:47:06,RNDR,organic
p0179,Don't miss this 100x! #FEX,acc0098,2025-12-04T14:47:30,FEX,bot
p0180,Where is the proof? #NEURA,acc0308,2025-12-04T14:47:31,NEURA,doubt
p0181,To the moon!!!,acc0447,2025-12-04T14:47:45,ASI,bot
p0182,Pump incoming!,acc0403,2025-12-04T14:48:03,OMNI,bot
p0183,Rumor: Big tech involved! #ASI,acc0134,2025-12-04T14:48:08,ASI,fake_news
p0184,To the moon!!!,acc0163,2025-12-04T14:48:18,NEURA,bot
p0185,Market sentiment seems healthy.,acc0423,2025-12-04T14:48:46,NEURA,organic
p0186,Strong team strong roadmap! #XCY,acc0417,2025-12-04T14:48:56,XCY,coordinated
p0187,BREAKING: Major partnership confirmed!,acc0150,2025-12-04T14:49:09,TAO,fake_news
p0188,Strong development updates.,acc0106,2025-12-04T14:49:36,FEX,organic
p0189,Solid long-term potential.,acc0206,2025-12-04T14:49:53,FEX,organic
p0190,Seems like coordinated hype.,acc0066,2025-12-04T14:50:18,AITK,doubt
